model,accuracy,f1_macro,f1_weighted,precision_activist,recall_activist,f1_activist,precision_sceptic,recall_sceptic,f1_sceptic,roc_auc
majority,0.5383290267011197,0.3499440089585666,0.3767700354851062,0.5383290267011197,1.0,0.6998880179171333,0.0,0.0,0.0,
tfidf_lr,0.8906115417743324,0.8898144017730192,0.8905328368121775,0.8922804253643166,0.9062,0.8991863464973209,0.8885985748218528,0.8724347014925373,0.8804424570487174,0.9581190531716418
bilstm_glove,0.8737080103359173,0.8733124394903052,0.8738551108623203,0.8980653214062825,0.8634,0.880391557051086,0.8475786654764561,0.8857276119402985,0.8662333219295245,0.9474251632462688
lab_transformer,0.8925495262704565,0.8911369647851413,0.8920875732705331,0.8742985409652076,0.9348,0.9035375990721052,0.917300862506342,0.8432835820895522,0.8787363304981775,0.9615489505597016
distilbert,0.9162360034453058,0.915683283734789,0.9162066034607036,0.9188492063492064,0.9262,0.9225099601593626,0.913135593220339,0.9046175373134328,0.9088566073102156,0.9739482276119402
climatebert,0.9176356589147286,0.9170878010211779,0.9176044564121821,0.9198889549871109,0.9278,0.9238275415712437,0.9149587750294464,0.9057835820895522,0.9103480604711122,0.975523344216418
